timestamp,date,latitude,longitude
1623092337,"2021-06-07 18:58:57",51.762713,-1.234653
1623092367,"2021-06-07 18:59:27",51.761638,-1.235653
1623092396,"2021-06-07 18:59:56",51.760485,-1.235694
1623092426,"2021-06-07 19:00:26",51.759096,-1.235901
1623092457,"2021-06-07 19:00:57",51.757722,-1.235407
1623092487,"2021-06-07 19:01:27",51.756382,-1.235506
1623092518,"2021-06-07 19:01:58",51.754922,-1.235573
1623092547,"2021-06-07 19:02:27",51.75378,-1.235831
1623092577,"2021-06-07 19:02:57",51.752334,-1.236584
1623092607,"2021-06-07 19:03:27",51.752069,-1.236966
1623092636,"2021-06-07 19:03:56",51.751402,-1.237403
1623092667,"2021-06-07 19:04:27",51.750499,-1.235864
1623092697,"2021-06-07 19:04:57",51.75012,-1.236485
1623092728,"2021-06-07 19:05:28",51.749518,-1.236971
1623092789,"2021-06-07 19:06:29",51.74951,-1.237431
1623092879,"2021-06-07 19:07:59",51.749308,-1.237828
1623092887,"2021-06-07 19:08:07",51.749463,-1.237073
1623092910,"2021-06-07 19:08:30",51.749498,-1.237813
1623092915,"2021-06-07 19:08:35",51.749472,-1.237125
1623092957,"2021-06-07 19:09:17",51.749498,-1.237072
1623095593,"2021-06-07 19:53:13",51.749482,-1.237088
1623096986,"2021-06-07 20:16:26",51.749471,-1.237068
1623097939,"2021-06-07 20:32:19",51.74948,-1.23706
1623098874,"2021-06-07 20:47:54",51.74948,-1.23706
1623103797,"2021-06-07 22:09:57",51.749465,-1.237066
1623104752,"2021-06-07 22:25:52",51.749548,-1.237207
1623106039,"2021-06-07 22:47:19",51.749485,-1.237094
1623106993,"2021-06-07 23:03:13",51.749536,-1.237135
1623108022,"2021-06-07 23:20:22",51.749484,-1.237101
1623129436,"2021-06-08 05:17:16",51.74948,-1.237055
1623130022,"2021-06-08 05:27:02",51.749478,-1.237067
1623132182,"2021-06-08 06:03:02",51.749759,-1.237139
1623132242,"2021-06-08 06:04:02",51.749455,-1.237014
1623134128,"2021-06-08 06:35:28",51.749477,-1.237068
1623136655,"2021-06-08 07:17:35",51.74947,-1.237068
1623140466,"2021-06-08 08:21:06",51.749492,-1.237076
1623141677,"2021-06-08 08:41:17",51.749499,-1.23709
1623141744,"2021-06-08 08:42:24",51.7493,-1.23677
1623141752,"2021-06-08 08:42:32",51.749026,-1.236834
1623141766,"2021-06-08 08:42:46",51.748757,-1.236926
1623141776,"2021-06-08 08:42:56",51.748518,-1.237133
1623141788,"2021-06-08 08:43:08",51.748244,-1.237206
1623141798,"2021-06-08 08:43:18",51.748011,-1.236952
1623141835,"2021-06-08 08:43:55",51.74759,-1.23498
1623141865,"2021-06-08 08:44:25",51.746645,-1.233179
1623141894,"2021-06-08 08:44:54",51.745886,-1.231238
1623141924,"2021-06-08 08:45:24",51.744613,-1.229288
1623141954,"2021-06-08 08:45:54",51.743248,-1.22762
1623141984,"2021-06-08 08:46:24",51.742117,-1.225904
1623142014,"2021-06-08 08:46:54",51.740782,-1.224096
1623142043,"2021-06-08 08:47:23",51.739997,-1.222435
1623142074,"2021-06-08 08:47:54",51.738738,-1.220435
1623142103,"2021-06-08 08:48:23",51.738468,-1.220467
1623142164,"2021-06-08 08:49:24",51.738441,-1.219602
1623142409,"2021-06-08 08:53:29",51.738221,-1.220079
1623142440,"2021-06-08 08:54:00",51.736943,-1.21794
1623142468,"2021-06-08 08:54:28",51.735741,-1.216208
1623142498,"2021-06-08 08:54:58",51.735073,-1.214974
1623142530,"2021-06-08 08:55:30",51.734699,-1.21362
1623142560,"2021-06-08 08:56:00",51.7346,-1.21246
1623142589,"2021-06-08 08:56:29",51.734404,-1.212062
1623142619,"2021-06-08 08:56:59",51.733266,-1.213089
1623142649,"2021-06-08 08:57:29",51.73264,-1.215388
1623142679,"2021-06-08 08:57:59",51.73269,-1.217066
1623142739,"2021-06-08 08:58:59",51.732404,-1.217733
1623142783,"2021-06-08 08:59:43",51.732068,-1.217767
1623142833,"2021-06-08 09:00:33",51.732444,-1.217637
1623143058,"2021-06-08 09:04:18",51.732003,-1.218457
1623143206,"2021-06-08 09:06:46",51.731957,-1.217994
1623143269,"2021-06-08 09:07:49",51.732359,-1.217541
1623143329,"2021-06-08 09:08:49",51.732669,-1.217402
1623143361,"2021-06-08 09:09:21",51.732371,-1.21813
1623143389,"2021-06-08 09:09:49",51.732163,-1.21858
1623143419,"2021-06-08 09:10:19",51.732174,-1.221506
1623143450,"2021-06-08 09:10:50",51.732258,-1.223746
1623143479,"2021-06-08 09:11:19",51.73236,-1.226037
1623143509,"2021-06-08 09:11:49",51.732508,-1.228124
1623143539,"2021-06-08 09:12:19",51.732743,-1.229407
1623143572,"2021-06-08 09:12:52",51.734286,-1.231925
1623143599,"2021-06-08 09:13:19",51.735714,-1.233019
1623143630,"2021-06-08 09:13:50",51.737265,-1.233908
1623143659,"2021-06-08 09:14:19",51.738085,-1.234575
1623143690,"2021-06-08 09:14:50",51.738905,-1.235418
1623143721,"2021-06-08 09:15:21",51.740263,-1.235381
1623143749,"2021-06-08 09:15:49",51.741016,-1.236641
1623143780,"2021-06-08 09:16:20",51.741928,-1.237963
1623143810,"2021-06-08 09:16:50",51.743705,-1.239679
1623143840,"2021-06-08 09:17:20",51.74508,-1.240411
1623143857,"2021-06-08 09:17:37",51.745756,-1.240701
1623143882,"2021-06-08 09:18:02",51.745274,-1.240637
1623143900,"2021-06-08 09:18:20",51.747818,-1.241859
1623143930,"2021-06-08 09:18:50",51.748648,-1.243416
1623143944,"2021-06-08 09:19:04",51.74953,-1.243481
1623144070,"2021-06-08 09:21:10",51.748683,-1.244217
1623144130,"2021-06-08 09:22:10",51.748574,-1.244849
1623144138,"2021-06-08 09:22:18",51.74875,-1.244157
1623144765,"2021-06-08 09:32:45",51.749045,-1.244048
1623147450,"2021-06-08 10:17:30",51.749144,-1.244199
1623154801,"2021-06-08 12:20:01",51.748837,-1.244084
1623155702,"2021-06-08 12:35:02",51.748939,-1.244208
1623156619,"2021-06-08 12:50:19",51.74895,-1.244223
1623157580,"2021-06-08 13:06:20",51.74895,-1.244223
1623158558,"2021-06-08 13:22:38",51.748994,-1.244273
1623158856,"2021-06-08 13:27:36",51.748415,-1.243881
1623158947,"2021-06-08 13:29:07",51.748702,-1.244018
1623159547,"2021-06-08 13:39:07",51.74882,-1.244161
1623163206,"2021-06-08 14:40:06",51.749199,-1.244223
1623166158,"2021-06-08 15:29:18",51.748664,-1.244189
1623166957,"2021-06-08 15:42:37",51.749071,-1.244821
1623167024,"2021-06-08 15:43:44",51.748948,-1.243717
1623167118,"2021-06-08 15:45:18",51.748837,-1.243114
1623167148,"2021-06-08 15:45:48",51.747785,-1.241871
1623167177,"2021-06-08 15:46:17",51.746696,-1.24084
